year,coutry,drug,n
2016,USA,Canabis,32.28
2016,USA,Cocaine,455
2016,USA,Meth,209
2016,Japan,Canabis,42.29
2016,Japan,Cocaine,495.51
2016,Japan,Meth,578.09
2016,Great Britain,Canabis,4.362857143
2016,Great Britain,Cocaine,61.07
2016,Great Britain,Meth,122.14
2016,Norway,Canabis,18.56
2016,Norway,Cocaine,98.97
2016,Norway,Meth,0
2016,Switzerland,Canabis,13.43
2016,Switzerland,Cocaine,101.65
2016,Switzerland,Meth,309.92
2017,USA,Canabis,32.45
2017,USA,Cocaine,608.5
2017,USA,Meth,205
2017,Japan,Canabis,55.15
2017,Japan,Cocaine,183.81
2017,Japan,Meth,588.18
2017,Great Britain,Canabis,3.871428571
2017,Great Britain,Cocaine,54.2
2017,Great Britain,Meth,67.75
2017,Norway,Canabis,13.72
2017,Norway,Cocaine,103.85
2017,Norway,Meth,0
2017,Switzerland,Canabis,13.2
2017,Switzerland,Cocaine,99.24
2017,Switzerland,Meth,287.61
2018,USA,Canabis,32.45
2018,USA,Cocaine,608.5
2018,USA,Meth,205
2018,Japan,Canabis,53.49
2018,Japan,Cocaine,178.3
2018,Japan,Meth,534.91
2018,Great Britain,Canabis,6.43
2018,Great Britain,Cocaine,102.83
2018,Great Britain,Meth,192.8
2018,Norway,Canabis,11.65
2018,Norway,Cocaine,112.89
2018,Norway,Meth,0
2018,Switzerland,Canabis,12.76
2018,Switzerland,Cocaine,96.37
2018,Switzerland,Meth,276.94
2019,USA,Canabis,32.45
2019,USA,Cocaine,255
2019,USA,Meth,205
2019,Japan,Canabis,45.27
2019,Japan,Cocaine,181.07
2019,Japan,Meth,543.27
2019,Great Britain,Canabis,6.68
2019,Great Britain,Cocaine,106.81
2019,Great Britain,Meth,133.51
2019,Norway,Canabis,11.55
2019,Norway,Cocaine,101.96
2019,Norway,Meth,0
2019,Switzerland,Canabis,12.2
2019,Switzerland,Cocaine,92.47
2019,Switzerland,Meth,261.76
