Drug Type,Country,Year,Best,High,Male,Female,Low,Age,Source,Method,Adjustment,Specific notes,Sub-region,Region
Amphetamines,Afghanistan,2009,0,,,,,15-64,UNODC/Government Source,HHS,,,Near and Middle East/South-West Asia,Asia
Amphetamines,Albania,2014,0.1,,,,,15-64,Public health research,HHS,,Amphetamine,South-Eastern Europe,Europe
Amphetamines,Albania,2014,0.1,,0.4,0,,15-64,ARQ,HHS,,Amphetamine,South-Eastern Europe,Europe
Amphetamines,Albania,2004,0.02,,,,,15-64,ARQ,,,,South-Eastern Europe,Europe
Amphetamines,Algeria,2010,0.03,,0.06,0.01,,12+,ARQ,HHS,,,North Africa,Africa
Amphetamines,Armenia,2005,0.04,,,,,15-64,UNODC Estimate,HHS,,,Central Asia and Transcaucasia,Asia
Amphetamines,Australia,2016,1.4,,1.8,1,,14+,ARQ,HHS,,Amphetamine and methamphetamine,Australia and New Zealand,Oceania
Amphetamines,Australia,2013,2.1,,2.7,1.5,,14+,Government source,HHS,z*,Methamphetamine,Australia and New Zealand,Oceania
Amphetamines,Australia,2010,2.1,,,,,14+,ARQ,HHS,,,Australia and New Zealand,Oceania
Amphetamines,Australia,2007,2.7,,,,,15-64,Government source,HHS,,,Australia and New Zealand,Oceania
Amphetamines,Austria,2015,0.4,0.6,0.5,0.4,0.2,15-64,Government source,HHS,,,Western and Central Europe,Europe
Amphetamines,Austria,2008,0.5,,,,,15-64,Government source,HHS,a,,Western and Central Europe,Europe
Amphetamines,Austria,2004,0.8,,,,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Bahamas,2008,0.43,1.06,,,0.13,15-64,ARQ,SS,"d, e",,Caribbean,Americas
Amphetamines,Bahamas,2003,0.29,,,,,15-64,UNODC Estimate,,"d, e",,Caribbean,Americas
Amphetamines,Barbados,2006,0.2,,,,,12-65,CICAD,HHS,z,,Caribbean,Americas
Amphetamines,Belarus,2006,0.35,,,,,15-64,UNODC Estimate,,g,,Eastern Europe,Europe
Amphetamines,Belgium,2013,0.2,,0.3,0.1,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Belgium,2008,0.9,,1.4,0.4,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Belgium,2007,0.85,,,,,15-64,ESPAD,SS,"c, d, e",,Western and Central Europe,Europe
Amphetamines,Belize,2005,1.35,,,,,12-65,CICAD,HHS,z,,Central America,Americas
Amphetamines,Bermuda,2009,0.1,0.1,,,0,16-65,Government source,HHS,,,North America,Americas
Amphetamines,Bolivia (Plurinational State of),2014,0.1,,0.4,0,,12-65,ARQ,HHS,,Amphetamine,South America,Americas
Amphetamines,Bolivia (Plurinational State of),2007,0.5,,0.5,0.4,,12-65,ARQ,HHS,,Includes Non medical use of pharmaceutical stimulants,South America,Americas
Amphetamines,Bosnia and Herzegovina,2011,0.5,0.91,,,0.09,15-64,ARQ,SS,"b, d, e",,South-Eastern Europe,Europe
Amphetamines,Bosnia and Herzegovina,2008,1.04,1.71,,,0.37,15-64,ESPAD,SS,"c, d, e",,South-Eastern Europe,Europe
Amphetamines,Brazil,2016,0.3,,,,,15-64,Government source,HHS,,,South America,Americas
Amphetamines,Brunei Darussalam,2006,0.25,,,,,15-64,UNODC Estimate,,g,,East and South-East Asia,Asia
Amphetamines,Bulgaria,2016,0.8,0.9,1,0.55,0.7,15-64,UNODC Estimate,HHS,,Amphetamine and methamphetamine,South-Eastern Europe,Europe
Amphetamines,Bulgaria,2012,0.65,0.7,0.85,0.4,0.6,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Amphetamines,Bulgaria,2008,0.95,1,,,0.9,15-64,ARQ,HHS,,,South-Eastern Europe,Europe
Amphetamines,Bulgaria,2007,0.5,,,,,15-64,ARQ,"HHS, c",,,South-Eastern Europe,Europe
Amphetamines,Cambodia,2004,0.6,,,,,15-64,UNODC Estimate,,"d, e",,East and South-East Asia,Asia
Amphetamines,Canada,2017,0.4,,,0.08,,15+,ARQ,HHS,,Amphetamine,North America,Americas
Amphetamines,Canada,2015,0.25,,,,,15-64,ARQ,HHS,,Amphetamine,North America,Americas
Amphetamines,Canada,2013,0.2,,0.2,0.2,,15-64,ARQ,HHS,z*,Amphetamine/methamphetamine,North America,Americas
Amphetamines,Canada,2012,1.6,,2.1,1.1,,15-64,ARQ,HHS,z*,Includes Non medical use of pharmaceutical stimulants,North America,Americas
Amphetamines,Canada,2011,1.2,,1.5,0.9,,15-64,ARQ,HHS,z*,Includes Non medical use of pharmaceutical stimulants,North America,Americas
Amphetamines,Canada,2010,0.5,,,,,15-64,ARQ,HHS,,,North America,Americas
Amphetamines,Chile,2018,0.08,,,,,15-64,ARQ/UNODC Estimate,HHS,,Includes amphetamine and metamphetamine,South America,Americas
Amphetamines,Chile,2016,0.18,,0.25,0.11,,15-64,ARQ,HHS,,Amphetamine,South America,Americas
Amphetamines,Chile,2014,0.06,,0.06,0.06,,15-64,ARQ,HHS,,Amphetamines,South America,Americas
Amphetamines,Chile,2012,0.08,,0.14,0.03,,15-64,ARQ,HHS,,Amphetamines,South America,Americas
Amphetamines,Chile,2010,0.27,0.37,,,0.17,15-64,ARQ,HHS,z*,,South America,Americas
Amphetamines,Chile,2008,0.4,,,,,15-64,ARQ,HHS,,,South America,Americas
Amphetamines,China,2018,0.57,,,,,15-64,Academic research,HHS,,Methamphetamine,East and South-East Asia,Asia
