Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,Northern Africa,Algeria,ATS (excluding ecstasy),Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
,,,,Non-specified ATS,,,,,,,,,,,,,,,9,,11,,,,,,,,,,,,,,,,,,,159,268,300,452
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,0,,,0,,,,,,0,0,10,0,0,8,22,1,1,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,183,4,1,88,59,6,672
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,,,0,0,1,0
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,
,,,Hashish (resin),Hashish (resin),,134,566,578,2'150,347,598,,,,,1'832,,1'023,1'169,1'921,712,,1'217,4'081,1'694,1'728,2'148,8'068,12'373,1'680,10'046,16'595,38'037,74'643,23'042,53'323,157'383,211'513,181'943,126'686,109'089,52'610,31'936
,,,Heroine and Morphine,Heroin,,0,,,,,,,,,,18,,0,2,0,0,,0,0,,0,0,1,0,0,0,0,0,1,0,2,6,1,0,3,1,2,4
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,
,,,Marijuana (herb),Marijuana (herb),240,14,1,,,,,1'208,,3'256,2'266,101,6'941,397,39,1'475,0,,58,,,,,2,7,,1,45,3,1,0,,,,,,,29,1
,,,Opium,Opium,,,,,,,,,,,,,1,0,0,0,,,,,,,,,3,,,0,15,0,0,1,0,1,41,0,1,,0
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,Cannabis oil,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,557,52,,,1'420,58,0,1'336,,,,,,,,,,,,,,,336,12,,76,2'099,1'071,180,316,102,9,483,252,57,51,371,116
,,,,Cannabis seed,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,5,40,0,0,9,0,1,1,2
,,,,Depressants (excluding Methaqualone),,,,,,,0,,0,,,,,,,,,,,1,1,,2,6,,,1,8,9,1,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
,,,,Poppy plants,,,,,,,,37,,,,,,,,,,,,,,,,,,,,7'675,7'761,962,87,34,20,272,,,106,,3
,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,11,,,,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,9,,,,,,
,,Egypt,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2'429,6'112,1'668,
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,19,12,,,,,,,,,,,,,0,1,0,,0,
,,,,Non-specified ATS,324,299,388,780,1'443,2'433,2'004,2'881,1'839,1'468,1'326,536,300,175,65,86,123,70,15,5,14,17,11,1,3,1,2,2,0,,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,0,0,1,2,2,1,,1,1,0,1,1,0,1,1,2,1,14,1,4,1,2,0,0,3,1,56,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,40,3,528,23,26,14,
,,,,Non-specified cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,1,2,0,1,2,3,3,1,0,0,1,0,0,0,0,1,6,2,
,,,Hashish (resin),Hashish (resin),11'638,68'672,42'479,65'822,84'478,50'175,21'288,40'740,14'507,37'767,9'703,10'726,7'985,4'270,1'745,1'027,2'055,442,628,626,524,486,1'080,1'199,1'868,1'529,5'146,5'624,12'795,11'422,15'354,18'213,12'297,84'256,54'599,33'550,29'236,30'090,
,,,Heroine and Morphine,Heroin,0,,0,242,24,124,99,79,335,58,68,86,52,192,87,48,48,51,25,24,37,38,55,27,31,32,58,88,211,159,234,75,96,260,613,516,816,856,
,,,,Illicit morphine,,,,,,0,,0,,,1,1,0,,0,0,0,0,0,0,,0,,,,,,,,,,,,0,0,,0,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,20,7,24,622,,1'452,330,599,1'268,2'623,6'624,10'186,31'078,22'589,30'397,50'376,59'283,84'819,80'249,78'084,100'850,47'538,81'429,62'918,106'994,73'133,77'121,212'063,395'920,360'040,200'849,242'714,
,,,Opium,Opium,3'185,365,890,254,292,288,54,211,3'862,90,63,50,49,95,50,18,16,31,26,25,75,40,33,45,114,45,33,49,52,57,50,11,49,83,99,159,167,129,
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
,,,,Cannabis oil,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,13,,
,,,,Cannabis plants,8'149,6'383,4'541,2'101,471,12'199,8'160,6'239,615,3'503,24'284,38'110,77'000,167'237,826'412,5'115'327,23'148'272,6'354'282,3'515'038,,,47,407,471,409,380,352,27,,,,,,1'043,0,1'057,64,0,
,,,,Cannabis seed,,,,,,,0,0,0,,,,0,599,,,,33,12,116,24,22,27,31,95,35,25,75,,,2,5,3,63,68,,210,294,
,,,,Depressants (excluding Methaqualone),947,208,146,206,145,,,5,12,19,19,,,,,,,,,,,,1,0,0,3,1,0,,0,0,,,,,,,,
,,,,LSD,,,,,,0,,,,,,,0,,,0,0,0,0,,0,,,0,,,,,,,,,,,0,,,0,
,,,,Methaqualone,,,,,,208,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,1'570,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,1'529,,,,,,,,,,,,,
