Year,Country,Drug Group,Selected year seizure (Kg),Previous year seizure (Kg),% Change 
2017,Afghanistan,ATS (excluding ecstasy),127.47,47.4,62.81
2017,Algeria,ATS (excluding ecstasy),300.45,268.11,10.76
2017,Andorra,ATS (excluding ecstasy),0.02,0.07,
2017,Argentina,ATS (excluding ecstasy),58.51,51.45,
2017,Armenia,ATS (excluding ecstasy),2.77,1.28,
2017,Australia,ATS (excluding ecstasy),6'121.10,4'825.05,21.17
2017,Austria,ATS (excluding ecstasy),55.31,92.45,-40.17
2017,Bahrain,ATS (excluding ecstasy),8.15,2'278.00,-99.64
2017,Bangladesh,ATS (excluding ecstasy),3'607.15,354.9,90.16
2017,Belarus,ATS (excluding ecstasy),2.41,0.93,
2017,Belgium,ATS (excluding ecstasy),352.11,17.04,95.16
2017,Benin,ATS (excluding ecstasy),147.73,141.52,
2017,Bosnia and Herzegovina,ATS (excluding ecstasy),58.49,0.02,99.97
2017,Brazil,ATS (excluding ecstasy),116.42,121.54,
2017,Brunei Darussalam,ATS (excluding ecstasy),0.79,0.72,
2017,Bulgaria,ATS (excluding ecstasy),406.54,277.07,31.85
2017,Cambodia,ATS (excluding ecstasy),113.56,44.16,61.11
2017,Canada,ATS (excluding ecstasy),908.65,925.73,-1.84
2017,Chile,ATS (excluding ecstasy),0.04,0.81,
2017,China,ATS (excluding ecstasy),30'766.43,30'706.04,0.2
2017,"China, Macao SAR",ATS (excluding ecstasy),0.95,1.29,
2017,"China, Taiwan Province of China",ATS (excluding ecstasy),530.54,616.22,-13.9
2017,Croatia,ATS (excluding ecstasy),38.16,23.37,38.76
2017,Cyprus,ATS (excluding ecstasy),1.28,0.99,
2017,Czechia,ATS (excluding ecstasy),95.11,95.7,
2017,Denmark,ATS (excluding ecstasy),322.02,422.23,-23.73
2017,Dominican Republic,ATS (excluding ecstasy),3.79,0,
2017,Ecuador,ATS (excluding ecstasy),2.94,3.64,
2017,Egypt,ATS (excluding ecstasy),1'667.96,6'111.73,-72.71
