,,,,,,,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017
Region,Sub-Region,Country,Drug-Group,Drug,Specific Drug Name,Unit Of Measurement,From,Typical,To,From,Typical,To,From,Typical,To,From,Typical,To
Africa,Northern Africa,Algeria,ATS,Ecstasy-type substances,-,1000  tablets,,,,8'107,10'134,12'160,7'313,9'141,10'970,7'226,9'032,10'839
Africa,Northern Africa,Egypt,ATS,Ecstasy-type substances,-,1000  tablets,,,,15'621,,19'526,,,,13'958,,16'749
Africa,Northern Africa,Egypt,ATS,Ecstasy-type substances,-,Tablet,,,,,,,21,,26,,,
Africa,Northern Africa,Egypt,ATS,Methamphetamine,Ice,Kilogram,,,,,,,,,,27'916,,41'874
Africa,Northern Africa,Sudan,ATS,Amphetamine,-,1000  tablets,,,,,,,,,,1'383,1'383,2'074
Africa,Southern and South-Eastern Africa,South Africa,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,2'714,4'071,5'429,2'988,4'483,5'977
Africa,Southern and South-Eastern Africa,South Africa,ATS,Methamphetamine,-,Kilogram,,,,,,,10'178,15'268,20'357,11'207,16'810,22'413
Americas,Caribbean,Dominican Republic,ATS,Ecstasy-type substances,-,1000  units,,,,,,,,,,10'000,15'000,20'000
Americas,Central America (excluding Mexico),El Salvador,ATS,Methamphetamine,-,Ounce,,,,,,,800,900,1'000,400,450,500
Americas,Central America (excluding Mexico),Guatemala,ATS,Amphetamine,-,Kilogram,98'000,98'168,98'500,98'000,98'168,98'500,,,,100'543,101'902,103'261
Americas,Central America (excluding Mexico),Guatemala,ATS,Methamphetamine,-,Kilogram,1'955,2'000,2'005,1'955,2'000,2'005,,,,,,
Americas,Northern America (including Mexico),Mexico,ATS,Methamphetamine,-,Kilogram,,14'514,,,14'514,,,14'514,,,14'514,
Americas,Northern America (including Mexico),United States of America,ATS,Amphetamine,-,Kilogram,6'170,,88'180,,,,,,,,,
Americas,Northern America (including Mexico),United States of America,ATS,Amphetamine,-,Pound,,,,2'400,,40'000,2'400,,40'000,2'400,,40'000
Americas,Northern America (including Mexico),United States of America,ATS,Ecstasy-type substances,-,Kilogram,10'000,,32'000,6'000,,32'000,6'000,,36'000,6'000,,36'000
Americas,Northern America (including Mexico),United States of America,ATS,Methamphetamine,-,Kilogram,1'323,,121'255,,,,,,,,,
Americas,Northern America (including Mexico),United States of America,ATS,Methamphetamine,-,Pound,,,,1'400,,55'000,1'500,,55'000,1'500,,55'000
Americas,South America,Chile,ATS,Ecstasy-type substances,-,Unit,,,,,,,15,22,30,15,23,31
Americas,South America,Uruguay,ATS,Ecstasy-type substances,-,1000  tablets,,,,,,,,,,5'000,7'000,10'000
Asia,Central Asia and Transcaucasia,Armenia,ATS,Amphetamine,-,1000  tablets,160'000,,170'000,,,,,,,,,
Asia,Central Asia and Transcaucasia,Armenia,ATS,Amphetamine,-,Kilogram,,,,100'000,,130'000,100'000,,140'000,100'000,,140'000
Asia,Central Asia and Transcaucasia,Armenia,ATS,Ecstasy-type substances,-,1000  tablets,30'000,,40'000,,,,,,,,,
Asia,Central Asia and Transcaucasia,Armenia,ATS,Methamphetamine,-,Kilogram,160'000,,170'000,100'000,,130'000,100'000,,140'000,100'000,,140'000
